,Annee 2025,,,,,,
,Nom de l analyse,Nombre,$ANACODE (CH ANAL),B,Dhs,CPA,Bref info
96,AC  ANIT TRANSGLUTAMINASE,52,I  TRAG,,0,,
97,AC ANTI CCP,52,I  CCP,,0,,
98,LDH,50,EZ LDH,,0,,
99,rapport proteinurie créat,50,EU RAPC,,0,,
100,ASPECT DU SERUM,49,C  ASP,,0,,
101,CORTISOL 8H,49,N  COR8,,0,,
102,FSH PLASMATIQUE,47,N  FSH,,0,,
103,PRELEVEMENT VAGINAL,47,B  PV,,0,,
104,BRAIN NATRIURETIC PEPTIDE,47,I  BNP,,0,,
105,DOSAGE D'HCG,46,N  HCG,,0,,
106,VITAMINE B9,46,V  VB9,,0,,
107,ANTIBIOGRAMME C+,45,B  ATBC,,0,,
108,PARATHORMONE,43,N  PTH,,0,,
109,SPERMOCULTURE,43,B  SPC,,0,,
110,VITESSE DE SEDIMENTATION,41,H  VS1,,0,,
111,RESERVE ALCALINE,40,C  RA,,0,,
112,AC. ANTITHYROGLOBULINE,40,N  ATG,,0,,
113,SANG DS LES SELLES,39,B  RSS,,0,,
114,RECHERCHE D'AGGLUTININES,38,T  RAI,,0,,
115,Créatinine kinase (CPK),37,EZ CPK,,0,,
116,ECBU MSC ( IFAERO),35,B  CBUM,,0,,
117,CALCUL URINAIRE INFRAROUG,33,C  CALI,,0,,
118,HORMONE ANTI MULLERIENNE,32,N  AMH,,0,,
119,BK *3,32,B  BK3,,0,,
120,BILIRUBINE URINES,30,EU RBIL,,0,,
121,URACILEMIE (phenotypage d,29,S  DPD,,0,,
122,LH PLASMATIQUE,28,N  LH,,0,,
123,HYPERGLYCEMIE PROVOQUEE P,27,C  HGPO,,0,,
124,FER,26,C  FER,,0,,
125,ECB D'UN PRELEVEMENT DE P,25,B  CBP3,,0,,
126,ANTICORPS HBC,24,S  AHBC,,0,,
127,HLA B 27,24,BM HLAB,,0,,
128,RETICULOCYTES,23,H  RETI,,0,,
129,PROTEINES,23,C  PROT,,0,,
130,ANTICORPS HBS,23,S  AHBS,,0,,
131,CA125,22,MT CA12,,0,,
132,Informations sur ce dossi,22,0  INFO,,0,,
133,AMYLASE,20,EZ AMY,,0,,
134,QUANTIFERON TBGOLD IT,18,BM QF,,0,,
135,ANTICORPS ANTI DNA,17,I  ADNA,,0,,
136,(ETIQUETTE DOSSIER),16,Y  MUG,,0,,
137,OESTRADIOL,16,N  E2,,0,,
138,IDR,16,B  IDR,,0,,
139,MYCOLOGIE D'UN PRELEVEMEN,15,B  MYCO,,0,,
140,THYROGLOBULINE,15,N  THYG,,0,,
141,SPERMOCYTOGRAMME,13,SP SPRC,,0,,
142,LIQUIDE CEPHALO-RACHIDIEN,13,B  LCR,,0,,
143,Ac Anti Recepteur de la T,12,N  ARTS,,0,,
144,Infections à Herpes Simpl,11,S  HSV,,0,,
145,ANTIGENE PROSTATIQUE (LIB,11,MT PSAL,,0,,
146,IMMUNOGLOBULINES A,11,I  IGA,,0,,
147,QLFCAT ADN DU VHB,11,BM ADNB,,0,,
148,CREATININE URINAIRE,10,EU CRU,,0,,
149,ALPHA FOETO-PROTEINE.,10,MT AFP,,0,,
150,PCRHVC,9,BM ARN2,,0,,
151,ENZYME DE CONVERSION,9,EZ CONV,,0,,
152,FIBRINOGENE,9,HS FIB,,0,,
153,ANTIBIOGRAMME,9,B  ATBT,,0,,
154,RECHERCHE DE BK + CULTURE,9,B  BKC,,0,,
155,LIQUIDE D'ASCITE,8,B  ASCI,,0,,
156,BMD-CLA TROPHALLERGENES,8,A  CLAT,,0,,
157,CORTISOL 10H,8,N  COR,,0,,
158,ZINC,8,C  ZINC,,0,,
159,PSA LIBRE/TOTALE,8,MT PSTL,,0,,
160,IMMUNO ELECTROPHORESE,8,C  IEP,,0,,
161,DELTA 4 ANDROSTENEDIONE,7,N  D4AD,,0,,
162,CORONAVIRUS SARS COV2 (CO,7,BM NOW,,0,,
163,PH,7,U  PH,,0,,
164,AC ANTI MITOCHONDRIES DEP,7,I  MITO,,0,,
165,Test Antigénique Covid 19,7,I  TAN,,0,,
166,PRELEVEMENT URETRAL,7,B  PURE,,0,,
167,CALCIUM URINAIRE,7,EU CAU,,0,,
168,DEHYDROEPIANDROSTERONE SU,6,N  DHA,,0,,
169,ECT DEPISTAGE + TITRAGE,6,I  ECT,,0,,
170,Coefficients de saturatio,6,C  COEF,,0,,
171,Parasitologie des selles*,6,B  PARP,,0,,
172,IGF1,6,N  IGF1,,0,,
173,PCR HIV,6,BM HIVP,,0,,
174,AC ANTIPHOSPHOLIPIDES,6,I  ACPH,,0,,
175,IGE T,6,A  IGET,,0,,
176,ECT DEPISTAGE,6,I  ECTD,,0,,
177,CALCIUM CORRIGE,5,C  CACO,,0,,
178,MARQUEURS LYMPHOCYTAIRES,5,T  T4T8,,0,,
179,BMD-CLA PNEUMALLERGENES,5,A  CLAP,,0,,
180,VITAMINE B9 ERYTHROCYTAIR,5,V  VB9E,,0,,
181,ALCOOLEMIE,5,C  ALCO,,0,,
182,HLM (COMPTE D'ADDIS),5,B  HLM,,0,,
183,RECHERCHE DIRECT DE CHLAM,5,B  RCH1,,0,,
184,ECB D'UN PRELEVEMENT DE P,5,B  PUS,,0,,
185,RECHERCHE DIRECT DE MYCOP,5,B  RMY1,,0,,
186,PHOSPHORE URINAIRE,5,EU PU,,0,,
187,CALCITONINE,5,MT CALC,,0,,
188,SELENIUM SERIQUE,4,C  SELE,,0,,
189,ADENOSINE DESAMINASE,4,EZ ADA,,0,,
190,IMMUNOGLOBULINES G,4,I  IGG,,0,,
191,CAPACITE TOTALE DE FIXATI,4,C  CTF,,0,,
192,17 HYDROXY PROGESTERONE,4,N  17HP,,0,,
193,CORTISOL 16h,4,N  CO16,,0,,
194,COMPLEMENT C3,4,I  C3,,0,,
195,AC ANTI ENDOMYSUIM IGA,4,I  EDMA,,0,,
196,CORTISOL 9H,4,N  COR9,,0,,
197,AC ANTI CYTOPLASME DES PN,4,I  ANCA,,0,,
198,RECHERCHE DE BK URINAIRE,4,B  BKU,,0,,
199,PH,4,EU PH,,0,,
200,CORTISOL URINAIRE,4,N  CORU,,0,,
201,FACTEUR VIIIc,4,O  F8,,0,,
202,Infections Cytomégalo Vir,4,S  CMV,,0,,
203,ISOELECTROFOCALISATION LC,4,C  IEFP,,0,,
204,SERO HYDATIDOSE depistage,4,S  HYDA,,0,,
205,LITHUM,3,TO LITH,,0,,
206,CHAINES LEGERES LIBRES KA,3,T  CHLK,,0,,
207,LDH DANS LIQUIDE PLEURAL,3,EZ LDHP,,0,,
208,Anti-bêta 2 glycoprotéine,3,EZ B2GI,,0,,
209,PROTEINE C,3,O  PRC,,0,,
210,AC ANTI MUSCLE LISSE,3,I  MULI,,0,,
211,TRANSFERRINE,3,C  TRAF,,0,,
212,VITAMINE E,3,V  VITE,,0,,
213,AC ANTI CARDIOLIPINE IGG,3,I  ACAG,,0,,
214,PROTEINE S,3,O  PRS,,0,,
215,COMPLEMENT C4,3,I  C4,,0,,
216,SEROLOGIE  EBV IGG - IGM,3,S  EBV,,0,,
217,Anticorps Anti GAD,3,I  GAD,,0,,
218,PROGESTERONE,3,N  PROG,,0,,
219,ATB 2EME,3,ZB ATB2,,0,,
220,SODIUM URINAIRE,3,EU NAU,,0,,
221,PRELEVEMENT VULVAIRE,3,B  PVU,,0,,
222,AC ANTI CARDIOLIPINE IGM,3,I  ACAR,,0,,
223,ANTIBIOGRAMME B-,3,B  ATB-,,0,,
224,ANTIBIOGRAMME,3,B  ATBD,,0,,
225,COPROPARASITOLOGIE 3 X,3,B  CPR3,,0,,
226,EXAMEN D'UN LIQUIDE PLEUR,3,B  PLEU,,0,,
227,APOLIPOPROTEINE A1,3,C  APOA,,0,,
228,Anticorps Anti-Endomysium,3,I  EDMG,,0,,
229,ACTH,3,BS ACTH,,0,,
230,ANTIGENE HBE,3,S  GHBE,,0,,
231,CHAINES LEGERES LIBRES LA,3,T  CHLL,,0,,
232,ANTI THROMBINE III,3,HS AT3,,0,,
233,FRUCTOSAMINES,3,C  FRUC,,0,,
234,Anticorps anti-SP100 - Ig,2,I  SP10,,0,,
235,C PEPTIDE,2,N  PEPC,,0,,
236,VITAMINE B6,2,V  VB6,,0,,
237,BETA HCG HOMME,2,MT HCGP,,0,,
238,LABSTIX URINAIRE,2,EU LABS,,0,,
239,Anti-bêta 2 glycoprotéine,2,EZ B2GM,,0,,
240,UREE URINAIRE,2,EU UU,,0,,
241,ANTIBIOGRAMME 1,2,B  ATB1,,0,,
242,ANTICOAGULANT CIRCULANT D,2,HS ATCL,,0,,
243,FACTEUR IX (ANTIHEMOPHILI,2,O  F9,,0,,
244,IMMUNO ELECTROPHORESE DAN,2,C  IMEL,,0,,
245,Magnésium Erytrocytaire,2,C  MGE,,0,,
246,PARASITOLOGIE DES SELLES,2,B  PARE,,0,,
247,Recherche de PHENCYCLIDIN,2,M  PHEC,,0,,
248,SOUS CLASSES IGG4,2,I  IGGS,,0,,
249,LIQUIDE ARTICULAIRE,2,B  LART,,0,,
250,AUTO AC ANTIGLIADINE IGA,2,I  GLIA,,0,,
251,ANTICORPS ANTI GLIADINE I,2,I  GLIG,,0,,
252,Anticorps anti-GP 210,2,I  GP21,,0,,
253,SERO CHLAMYDIA,2,SE SCHL,,0,,
254,ANTICORPS HBE,2,S  AHBE,,0,,
255,REPTURE DE LA POCHE,2,I  RPM,,0,,
256,APOLIPOPROTEINE B,2,C  APOB,,0,,
257,SERO LYME,2,I  LYME,,0,,
